id_temp,id,idgroup,text,order,
34150,25208,15261,ἄρξον χήρ μου ἀγάθὴ ,0,
48629,32520,13035,"ἥτις καθαρῶς ἐστι πρῶτα γλυκύτης,",13,
34560,25336,14932,σοῦ παιδὸ(ς) χείρεσι | λιπ(εῖν) φάος. ὣς γ(ὰ)ρ ἔνευσε ,2,
34568,25338,5354,ῆς γραμματικῆς εἰμὶ τέχνης πυξί(ον),0,
49789,33802,15261,ἄρξου χείρ μου ἀγαθὲ (?)·,0,
34755,25369,5549,+ δόξα τῶ θεῶ τῶ δόντι τέλος:-,0,
34838,25388,14932,"ἐοῦ παιδὸς χείρεσσι λιπεῖν φάος· ὣς γὰρ ἔνευσε,",2,
34813,25385,15652,"αἰσχύλε τί φης τ(οὺς) θεούς σου προσφέρεις, ",0,
35290,25485,14872,"+ ὥσπερ ξαῖνοι χαίρουσ(ιν) ἰδεῖν π(ατ)ρίδα, ",0,
48656,32528,13035,"ἥτις κα|θαρῶς ἐστι πρῶτ(η) γλυκύτ(ης),",13,
35904,25650,15278,+ τῆ ἁγία καὶ μεγάλη κυριακ(ῆ) τοῦ πάσχ(α),0,
48678,32531,13035,"ἥτις καθαρῶς ἐστι πρώτη γλυκύτης,",13,
34440,25306,10869,ἡ χεὶρ μ(ὲν) ἡ γράψασα σήπεται τάφω·,0,
4367,17841,10869,"+ χεὶρ μ(ὲν) ἡ γράψασα, σίπεται τάφῳ·",0,
37551,26016,15261,+ αρξου χειρ μου αγαθη ,0,
37575,26021,15278,τῇ ἁγία καὶ μεγάλη κυριακῆ τοῦ πάσχα:·​,0,
37815,26110,14932,παιδὸς ἑοῦ χείρεσσι λιπεῖν βίον· ὣς γὰρ ἔνευσε ,2,
37847,26114,14932,σοῦ παιδὸς χείρεσσι λιπεῖν φάος· ὣς γὰρ ἔνευσε ,2,
38164,26231,4634,Δεύτερον ἀστερόφοιτον ἔχει τυφῶνο(ς) ἐνυὼ ,2,
38281,26236,4634,Δεύτερ(ον) ἀστερόφοιτ(ον) ἔχει τυφῶνο(ς) ἐνυώ ,2,
38447,26251,15652,"αἰσχύλ(ε) τὶ φὴς τοὺς θεούς σου προσφέρεις,",0,
39235,26424,15261,+ αρξου χειρ μου αγαθε,0,
39279,26433,14802,καὶ οἱ στρατεβό|μενοι | εἰδεῖν τὸ νίκος ,3,
39306,26438,15261,- αρξου χεὶρ μου ἀγαθη,0,
39567,26545,15652,"αἰ(...)τί φης, τοὺς (...) ",0,
49834,22345,14932,παιδός σου χείρεσι λιπ(εῖν) | βίον· ὡς ἐπένευσε,2,
40936,27084,15278,τῆ ἁγία καὶ μεγάλη κύριακῆ τοῦ πάσχα·,0,
40932,27083,15327,οἶδ' ὅτι θνητὸς ἔφυν καὶ ἐφ' ἅμερος ἀλλ’ ὅτ' ἄν ἄστρων,0,
41544,27234,15278,τῆ ἁγία καὶ μεγάλη κυριακῆ τοῦ πάσχα:∙ +,0,
41594,27247,15278,(...) (...)υρ(ιακῆ) τοῦ πάσχα·,0,
41682,28311,14872,+ ὥσπερ ξένοι χαίροντ(...) ἰδεῖν πατρίδα ,0,
41690,28315,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41693,28316,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41699,28318,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41705,28320,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41708,28321,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41672,27267,15278,※ τῆ ἁγία καὶ μεγάλη κυριακῆ τοῦ πάσχα ※,0,
41711,28322,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41723,28326,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41726,28327,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41717,28324,14872,[Ὥσπερ] ξένη χαίροντες ἡδεῖν π(ατ)ρίδας,0,
41729,28328,15261,+ αρξου χήρ μου αγὰθή ,0,
44987,20711,14667,θεόγραφον χάριν δὲ τῷ κεκτημένῳ·,2,
30499,24318,14667,θεόγραφον χάριν δὲ τῶ κεκτημ(έν)ω:,9,
30325,24253,14667,θεόγραφον χάριν (δὲ) τῶ κεκτημ(ένω)·,2,
31413,24514,14667,θεόγραφον χάριν δὲ τῷ κεκτημένω·,2,
42236,28566,5549,+ δόξα τῶ θεῶ τῶ δόντι τέλος:-,0,
20176,21751,15261,αρξου χηρ μου | αγαθε ,0,
33163,24947,14866,ὁ π(ά)ντ(α) κόσμ(ον) ἐν λόγ(ω) κτίσας | πάλ(ιν),0,
19142,21487,10869,"ἡ χεὶρ μ(ὲν) ἡ γράψασα, σήπεται τάφῳ.",0,
19237,21503,10869,"ἡ μὲν χεὶρ ἡ γράψασα σήπετ(αι) τάφω,",0,
1035,17087,14866,Ὁ πάντα κόσμον| ἐν λόγω κτίσας| πάλαι·,0,
797,17053,14872,"ὥσπερ ξένοι χαίροντες ιδεῖν πατριδα,",0,
26186,23162,445,εἰς οὐ(ρα)νοὺς τὸν κόσμον ἐκπέμπεις ὅλον· |,7,
39589,26548,12121,γαῖα βροτὸς κ(αὶ) ὕδωρ· τὰ δ’ ἀπ’ αὐτόφ(ιν) ἐς τάδε δύνει:,4,
37507,25999,12121,γαῖα· βροτὸς· (καὶ) ὕδωρ· τὰ δ’ ἐπ' αὐτόσφιν τάδε | δύνει·,4,
38029,26195,12121,γαῖα βροτὸ(ς) κ(αὶ) ὕδωρ τὰ δ’ ἐπ' αὐτόφ(ιν) ἐς τάδε δύνει·,4,
45021,21027,12121,γαῖα βροτὸ(ς) (καὶ) ὕδωρ· τὰ δ' ἀπαυτόφιν εἰς τάδε δύνει·,4,
16200,20794,12121,γαῖα βροτὸς καὶ ὕδωρ· τὰ ἀπ’ αὐτόφιν εἰς τάδε δύνει·,4,
37698,26068,12121,γαῖα βροτὸς καὶ ὕδωρ· τὰ ἀπ’ αὐτόφ(ιν) εἰς τάδε δύνει·,4,
8939,18961,12121,"γαῖα βροτὸς καὶ ὕδωρ, τάδ' ἀπ' αὐτόφι εἰς τόδε δύνει,",4,
37508,25999,12122,ὥστε μάτην ὁ βίος (καὶ) ὅσα τις πονέει:+,5,
38030,26195,12122,(ὥσ)τε μάτην ὁ βίο(ς) (καὶ) ὅσα τις πονέει,5,
16201,20794,12122,ὥστε μάτην ὁ βίος (καὶ) ὅσα τις πονέει:+,5,
16361,20835,12122,ὥστε μάτην ὁ βίος καὶ ὅσα τις πονέει:~,5,
